가수명,노래제목,발매일,가사,좋아요수,감정
썸데이,알고있나요,2009-01-08,난 햇살에 눈이 부신 싱그런 아침이 오면 사랑에 눈을 뜨며 노랠 해요 오직 그대 하나만 위해서 For You I love you only you 설레이는 맘 가득해 향기로운 커피보다 부드러운 나의 숨결로 그대를 보아요 아나요 그대는 느끼죠 그대도 가슴이 말하고 있는 사랑이란걸요 들려요 이제는 보아요 이제는 꽃보다 더 아름다운 수줍은 마음을 날 바라봐요 나의 손을 꼭 잡아요 행복한 기분이죠 눈부신 운명이죠 사랑의 향기에 미소지어요 난 바람이 불어 오면 살며시 두 눈을 감고 사랑해 주문처럼 속삭여요 이런 내마음 느낄 수 있도록 그대 내 눈을 보아요 설레이는 맘 가득해 마법같은 키스처럼 따사로운 나의 마음을 이제는 보아요 아나요 그대는 느끼죠 그대도 가슴이 말하고 있는건 사랑이란걸요 들려요 이제는 보아요 이제는 꽃보다 더 아름다운 수줍은 마음을 난 약속해요 우리 손을 꼭 걸어요 행복한 기분이죠 눈부신 운명이죠 사랑의 향기에 취해보아요 영원히 아나요 그대는 느끼죠 그대도 가슴이 말하고 있는건 사랑이란걸요 들려요 이제는 보아요 이제는 꽃보다 더 아름다운 수줍은 마음을 오로지 난 그대만을 사랑합니다  ,29567,happy
어반자카파,똑같은 사랑 똑같은 이별,2012-10-30,욕심에 점점 초라해지는 붙잡으려 할수록 더 멀어지는 지키려 할수록 지쳐만 가는 그렇게도 허무하게 무너져내리는 무엇을 위해 사랑을 하고 무엇을 위해 또 이별을 하고 그렇게 또 다른 만남과 또 다른 사랑에 똑같이 아파 늘 같은 이별하면서 잃게 될까봐 늘 불안해하는 상처받은 내 모습이 무뎌져가는 이번만은 정말 다를 거라는 헛된 바램을 가지고 또 믿음을 주는 무엇을 위해 사랑을 하고 무엇을 위해 또 이별을 하고 그렇게 또 다른 만남과 또 다른 사랑에 똑같이 아파 늘 같은 이별하면서 Why do we Why we fall in love Why do we Why we fail in love Why do we Why we fall in love Why do we Why we fail in love Why do we Why we fall in love Why do we Why we fail in love Why do we Why we fall in love Why do we 무엇을 위해 사랑을 하고 무엇을 위해 또 이별을 하고 그렇게 또 다른 만남과 또 다른 사랑에 똑같이 아파 늘 같은 이별하면서 욕심에 점점 초라해지는 붙잡으려 할 수록 더 멀어지는 ,56336,happy
허각,1440,2013-02-05, 하루 1440번 계속 니가 생각나 내가 좀 집착이 있나 할 정도로 가만히 TV를 보다 계속 니가 생각나 드라마 여주인공들보다 떨리는 맘은 놀이기구를 타고 니 얼굴보다 좋아서 땅을 보는 건 아냐 간지러워 했던 말은 내가 다하고 내가 좀 이상해졌나 봐 널 이렇게 사랑한 나보다 나를 사랑하는 니가 됐으면 내 머리속에 사는 그대가 하늘 위를 걷는 날 봤으면 널 이렇게 바라본 나보다 나만 바라보는 니가 됐으면 너를 기다리는 지금 이상한 떨림이 나를 더 설레게 해 오늘은 뭔가 될 거 같은 DAY 차가 막혀도 모든 게 아름답고 지나가는 연인 보면 나도 같이 설레고 봐도 보고싶어 넌 뭘 하고 있을지 하루 종일 너만 생각나 널 이렇게 사랑한 나보다 나를 사랑하는 니가 됐으면 내 머리속에 사는 그대가 하늘 위를 걷는 날 봤으면 널 이렇게 바라본 나보다 나만 바라보는 니가 됐으면 너를 기다리는 지금 이상한 떨림이 나를 더 설레게 해 오늘은 뭔가 될 거 같은 DAY 라 랄라랄라 라 라 랄라랄라 라 라 랄라랄라 라 라 라 랄라랄라 라 라 랄라랄라 라라 랄라라 이렇게 너를 사랑하는 나보다 날 사랑하는 니가 됐으면 너를 기다리는 지금 하늘에 감사해 니가 내게 있으니 니가 나를 보며 웃고 있으니  ,55348,happy
10CM,서울의 잠 못 이루는 밤 (Feat. 이수현),2021-05-13, 이곳의 밤은 원래 항상 건조한가요 창밖엔 비가 오는데 나는 목이 말라요 나를 외롭게 만드는 저 불빛이 처음부터 싫었던 건 아니지만 밤새도록 빛나면 나는 잠들 수가 없는데 Are you alone 우린 지금 연락해야 해 서로의 안부를 챙겨주며 복잡한 얘기를 들어주면 돼 어떻게든 우린 지금 연결되어야 해 누가 먼저라고 못하게 똑같이 잠이 들게 돼 are you still alone 아침을 기다리는 게 차라리 나을걸요 이곳의 밤은 유난히 느리게 흘러가요 새벽은 깊어질수록 더 반짝여 그대 두 눈 꼭 감고 기다리지 말고 나랑 놀아요 딱히 재밌을 건 없지만 Are you alone 우린 지금 연락해야 해 서로의 안부를 챙겨주며 복잡한 얘기를 들어주면 돼 어떻게든 우린 지금 연결되어야 해 누가 먼저라고 못하게 똑같이 잠이 들게 돼 are you still 하나둘씩 잠이 드나요 우리만 빼고 이 도시는 아니길 바라지만 역시 내일도 오늘처럼 Are you alone 우린 매일 연락해야 해 이 밤은 점점 더 우리에게 차갑고 주눅들게 하는데 어떻게든 우린 서로 안아줘야 해 조금 더 귀찮게 굴어도 돼 가깝게 볼 순 없어도 are you still alone  ,55253,happy
뎁트,"Umbrella (Feat. Ashley Alisha, Julian Rose)",2022-06-26,"Under the umbrella we would share 그대와 함께 우산을 쓰고 있으면 Didn't have to go nowhere 우린 아무데도 갈 필요가 없었어요 Right where I needed to be 내게 필요한 건 그대 곁이니까 It looked so beautiful to me 그곳이 어디라도 내게는 아름다웠죠 In the same old empty road 늘 똑같은 오래된 텅 빈 거리에서 Where we'd dance all slow 우리는 천천히 춤을 출 거예요 You'd pull me in real close 숨이 닿을 만큼 가까이 안고서 And never let me go 그대는 날 놓아주지 않겠죠 Every time I look up in the sky 매일 하늘을 바라볼 때 I see your face 그대 얼굴이 그려져요 All I do's wait, mm 그저 기다릴 수밖에 없어요 Part of me is hoping it would cry 한편으로는 속 시원히 울고 싶기도 해요 Cover me in rain 쏟아지는 빗속에 숨어서 Don't care how long it takes, oh 시간이 얼마나 흐르든 상관 없어요 Where are you now 그대는 지금 어디에 있나요 The rain’s coming down 비는 내리고 있는데 Remember the nights 그 밤들을 기억해요 We slept to the sound 우리가 빗소리를 들으며 잠들던 시간들 Memories and photographs are 기억도 사진도 소용이 없네요 Nothing when I want you 내가 그대를 간절히 원하는 순간에는 Under the umbrella we would share 그대와 함께 우산을 쓰고 있으면 Didn't have to go nowhere 우린 아무데도 갈 필요가 없었어요 Right where I needed to be 내게 필요한 건 그대 곁이니까 It looked so beautiful to me 그곳이 어디라도 내게는 아름다웠죠 In the same old empty road 늘 똑같은 오래된 텅 빈 거리에서 Where we'd dance all slow 우리는 천천히 춤을 출 거예요 You'd pull me in real close 숨이 닿을 만큼 가까이 안고서 And never let me go 그대는 날 놓아주지 않겠죠 Feels so strange to walk myself 기분이 참 묘해요 Down the street we knew so well 우리에게 익숙한 그 거리를 혼자 걷고 있어요 I would give you shelter 나 그대에게 쉴 곳이 되어줄게요 Rain up on my shoulder 내 어깨가 비에 젖어 축축해져도 I don’t mind as long as you’re warm 그대만 따뜻하다면 상관 없어요 Wish that I can feel you close 내가 그대를 가까이 느낄 수 있기를 It seizes on my mind 온 마음을 다해 바라고 있어요 Leaning back against me again tonight 오늘 밤 다시 한 번 내게 기대어요 I need you right by my side 내 곁에 그대가 필요해요 Take, take me back to us 다시 우리의 시간으로 데려가줘요 If there's a way 망가진 이 마음을 To mend my broken heart 고칠 수만 있다면 I’d do anything 무엇이든 할 거예요 To do it all over 그렇게 해서 Back to the moment 우리가 함께 한 순간으로 돌아갈 수만 있다면 Under the soft gray sky 부드럽던 그 회색빛 하늘 아래로 Under the umbrella we would share 그대와 함께 우산을 쓰고 있으면 Didn't have to go nowhere 우린 아무데도 갈 필요가 없었어요 Right where I needed to be 내게 필요한 건 그대 곁이니까 It looked so beautiful to me 그곳이 어디라도 내게는 아름다웠죠 In the same old empty road 늘 똑같은 오래된 텅 빈 거리에서 Where we'd dance all slow 우리는 천천히 춤을 출 거예요 You'd pull me in real close 숨이 닿을 만큼 가까이 안고서 And never let me go 그대는 날 놓아주지 않겠죠",2271,happy
샘김 (Sam Kim),Who Are You,2016-12-25, where I am who I am 감옥 같은 이 쓸쓸함 많은 사람들이 지나갔지만 모두 나를 지나가기만 했던 이 곳 where I am who are you who are you 감출 수 없는 기쁨 미친 듯 세상을 뒤집어 찾던 꿈에서조차 움켜쥐고 있던 그대 where are you 내가 꼭 찾아낼게 내가 널 알아볼게 니가 있는 곳 어디든 모습이 어떻든 꼭 알아볼게 내가 꼭 기억할게 내가 널 바라볼게 니가 없는 곳에서도 수많은 해가 져도 잊지 않을게 너의 말투 표정 하나까지 담아갈게 흐린 하늘 멈춘 구름 왜 모든 게 두려울까 너와 있는 시간이 느려지고 자꾸 멀어질 니 손을 붙잡고 있어 I beg for life 내가 꼭 찾아낼게 내가 널 알아볼게 니가 있는 곳 어디든 모습이 어떻든 꼭 알아볼게 내가 꼭 기억할게 내가 널 바라볼게 니가 없는 곳에서도 수많은 해가 져도 잊지 않을게 내가 널 이렇게 꼭 안고 있으면 자꾸 모두 잊어 버리게 돼 내가 돌아가야 하는 곳 내가 꼭 찾아낼게 내가 널 알아볼게 니가 있는 곳 어디든 모습이 어떻든 꼭 알아볼게 내가 꼭 기억할게 내가 널 바라볼게 니가 없는 곳에서도 수많은 해가 져도 잊지 않을게 너의 말투 표정 하나까지 담아갈게  ,106640,happy
NCT DREAM,너와 나 (Beautiful Time),2018-09-03,기억나니 네가 좋아했던 그곳 재미 삼아 남긴 낙서가 아직도 변함없이 그대로네 해가 드는 창가 끝에 네가 앉고 나도 옆에 앉아 노래를 부르면서 시간들을 보냈는데 Yeah 네 어깨 나의 어깨 살짝 걸치듯 올려둔 손길 우린 같은 느낌일 거야 즐거웠던 매일 매일 늦은 밤 쏟아지던 별빛 별빛 우리의 Beautiful time All right 시간이 더 오래오래 지나고 돌아보면 그때 그땐 너답게 웃길 바라 We are with you You that is us yeah 땅에 등 대고 Took off our shoes 아무것도 안 하고 그저 발이 하늘 쪽으로 뻗기만 해도 느꼈던 따뜻함 With you with you it’s only you Taught me 파도 위에 float Teach you 하늘 아래 spot 언덕에서 굴렀던 것처럼 끝이 보이지 않았던 날 The day went on and on and on yeah 네 눈에 나의 눈에 살짝 스쳤던 그거면 됐어 전부 전해지던 네 생각 즐거웠던 매일 매일 늦은 밤 쏟아지던 별빛 별빛 우리의 Beautiful time All right 시간이 더 오래오래 지나고 돌아보면 그때 그땐 너답게 웃길 바라 We are with you 어제처럼 헤어지자 내일도 다시 만날 것처럼 그때 돌아보면 보면 영화 속 파노라마처럼 처럼 그려져 Beautiful time so I’ll be there All right so I’ll be there 일상적인 너와 나의 지극히 행복했던 그때그때 여전히 그대로야 All the time We are with you Nanananana yeah Nanananana 너와 내 모든 순간 이토록 함께 We are 부를 이 노래 Nanananana 기억해 줘 Nanananana I’m with you 우리의 Beautiful time Always My love ,53281,happy
김종국,My Love,2022-01-27,My love 그대가 날 지켜주네요 그대가 모르게 말이죠 My love 왠지 슬픈 그대 눈을 보면은 나 역시 불안한 하룰 보내요 사랑을 하고 있죠 그댈 찾아다니네요 바람 같은 사랑 내 귓가에 스쳐요 I love you I need you 빠져있죠 My love 항상 난 그대만 보면서 그대를 지키며 살아요 My love 그대 소식 듣고 싶은 날이면 나 혼자 나 혼자 기다리네요 사랑을 하고 있죠 그댈 찾아다니네요 바람 같은 사랑 내 귓가에 스쳐요 I love you I need you 가슴 속에 응어릴 숨기면서 살아온 날 바보라고 해도 좋아요 난 꿈에서라도 그대 손을 잡으려 원하고 또 원하고 있어 사랑을 하고 있죠 그댈 찾아다니네요 바람 같은 사랑 내 귓가에 스쳐요 I love you I need you 빠져있죠 빠져있죠 ,3337,happy
양파,애송이의 사랑,1997-11-01,잠 못 이룬 새벽 난 꿈을 꾸고 있어 흐느낀 만큼 지친 눈으로 바라본 우리의 사랑은 너의 미소처럼 수줍길 바래 조금만 더 가까이 내곁에 있어줘 널 사랑하는 만큼 기대 쉴 수 있도록 지친 어둠이 다시 푸른 눈 뜰때 지금 모습 그대로 uh baby 제발 내 곁에 있어줘 잃어버린 만큼 자유롭다는 걸 세상은 쉽게 잊으려 해 소중한 우리의 바램이 다시 피어날 그 날을 꿈꾸며 조금만 더 가까이 내곁에 있어줘 We can reach the other side If we hold on to the passion 지친 어둠이 다시 푸른 눈 뜰때 Getting closer day by day uh baby 제발 내 곁에 있어줘 만들고 싶진 않아 세상이 바라는 걸 우리만의 미랠 만들거야 작지만 소중한 꿈을 위해 조금만 더 가까이 내곁에 있어줘 널 사랑하는 만큼 기대 쉴 수 있도록 지친 어둠이 다시 푸른 눈 뜰때 지금 모습 그대로 uh baby 제발 내 곁에 있어 지금 이대로 내 곁에 있어줘 널 사랑하는 만큼 기대 쉴 수 있도록 지친 어둠이 다시 푸른 눈 뜰때 지금 모습 그대로 uh baby 제발 내 곁에 있어줘 Baby 내 곁에 있어줘 ,15226,happy
미도와 파라솔,벌써 일년 (Drama Ver.),2021-07-30, 처음이라 그래 며칠 뒤엔 괜찮아져 그 생각만으로 벌써 일년이 너와 만든 기념일마다 슬픔은 나를 찾아와 처음 사랑 고백하며 설렌 수줍음과 우리 처음 만난 날 지나가고 너의 생일엔 눈물의 케이크 촛불 켜고서 축하해 I believe in you I believe in your mind 벌써 일년이 지났지만 일년 뒤에도 그 일년 뒤에도 널 기다려 너무 보고 싶어 돌아와줘 말 못했어 널 보는 따뜻한 그의 눈빛과 니 왼손에 껴진 반지보다 빛난 니 얼굴 때문에 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나 없이 추억을 만드는 너라는걸 내가 기억하는 추억은 언제나 지난 웃음과 얘기와 바램들 또 새로 만들 추억은 하나뿐 내 기다림과 눈물 속 너일뿐 I believe in you I believe in your mind 다시 시작한 널 알면서 이젠 나 없이 추억을 만드는 너라는걸 벌써 일년이 지났지만 일년 뒤에도 그 일년 뒤에도 널 기다려  ,20229,happy
